Date,Model,Asset,Weight,Vol90d,Mcap,RawWeight,Note
2024-07-07,AXIS_IVW,BNB,0.2320427282877095,0.07401734507459225,77460260277.0643,,ivw_weights
2024-07-07,AXIS_IVW,BTC,0.2407751906706819,0.0713328754672754,1136573329696.1133,,ivw_weights
2024-07-07,AXIS_IVW,ETH,0.22807097779718385,0.0753063228719727,368396034894.1044,,ivw_weights
2024-07-07,AXIS_IVW,SOL,0.10235219753497632,0.1678047673168136,83091055287.51738,,ivw_weights
2024-07-07,AXIS_IVW,XRP,0.19675890570944843,0.08729051744719317,23810152781.77638,,ivw_weights
2024-07-07,MCW_Cap40,BNB,0.08408055231051359,,77460260277.0643,0.045852629198991524,mcw_cap_40
2024-07-07,MCW_Cap40,BTC,0.4,,1136573329696.1133,0.6727949952351251,mcw_cap_40
2024-07-07,MCW_Cap40,ETH,0.399881719634127,,368396034894.1044,0.2180721666304515,mcw_cap_40
2024-07-07,MCW_Cap40,SOL,0.09019259418505352,,83091055287.51738,0.04918578035012811,mcw_cap_40
2024-07-07,MCW_Cap40,XRP,0.02584513387030595,,23810152781.77638,0.014094428585303817,mcw_cap_40
2024-10-06,AXIS_IVW,BNB,0.24135812004644147,0.06875357991509663,82786662391.60147,,ivw_weights
2024-10-06,AXIS_IVW,BTC,0.23112341690152494,0.07179815449786651,1210211844088.389,,ivw_weights
2024-10-06,AXIS_IVW,ETH,0.2274790351983278,0.07294841381889458,289852954770.0095,,ivw_weights
2024-10-06,AXIS_IVW,SOL,0.10916284133479634,0.1520135844016455,82766049023.48122,,ivw_weights
2024-10-06,AXIS_IVW,XRP,0.19087658651890946,0.08693698424414442,28069884743.534607,,ivw_weights
2024-10-06,MCW_Cap40,BNB,0.10273941947954617,,82786662391.60147,0.0488795409561218,mcw_cap_40
2024-10-06,MCW_Cap40,BTC,0.4000000000000001,,1210211844088.389,0.7145426290878373,mcw_cap_40
2024-10-06,MCW_Cap40,ETH,0.3597116183599519,,289852954770.0095,0.17113722143931848,mcw_cap_40
2024-10-06,MCW_Cap40,SOL,0.10271383799802473,,82766049023.48122,0.048867370252023215,mcw_cap_40
2024-10-06,MCW_Cap40,XRP,0.03483512416247716,,28069884743.534607,0.016573238264699135,mcw_cap_40
2025-01-05,AXIS_IVW,BNB,0.25271258717114287,0.06620821537212473,104891769449.17197,,ivw_weights
2025-01-05,AXIS_IVW,BTC,0.2723207201307145,0.06144097074450539,1915602122096.9692,,ivw_weights
2025-01-05,AXIS_IVW,ETH,0.22773933675006594,0.07346842068410928,438899610187.8712,,ivw_weights
2025-01-05,AXIS_IVW,SOL,0.13252539545281541,0.12625240122094966,125651623846.39754,,ivw_weights
2025-01-05,AXIS_IVW,XRP,0.1147019604952613,0.1458706488226512,128259141832.16974,,ivw_weights
2025-01-05,MCW_Cap40,BNB,0.07889543990708832,,104891769449.17197,0.03865831440614557,mcw_cap_40
2025-01-05,MCW_Cap40,BTC,0.4,,1915602122096.9692,0.7060034309840587,mcw_cap_40
2025-01-05,MCW_Cap40,ETH,0.33012292578018887,,438899610187.8712,0.16175834588813295,mcw_cap_40
2025-01-05,MCW_Cap40,SOL,0.09451018121307687,,125651623846.39754,0.04630944835619912,mcw_cap_40
2025-01-05,MCW_Cap40,XRP,0.09647145309964592,,128259141832.16974,0.04727046036546365,mcw_cap_40
2025-04-06,AXIS_IVW,BNB,0.2669350711962111,0.06300624866261315,87222072405.87825,,ivw_weights
2025-04-06,AXIS_IVW,BTC,0.27783395904625136,0.06053463561580323,1627859591958.2957,,ivw_weights
2025-04-06,AXIS_IVW,ETH,0.21445573202487345,0.07842447163226271,216581786898.246,,ivw_weights
2025-04-06,AXIS_IVW,SOL,0.12892659673266194,0.13045079835183493,69538186547.3101,,ivw_weights
2025-04-06,AXIS_IVW,XRP,0.11184864100000222,0.15036908202184138,113587598030.20256,,ivw_weights
2025-04-06,MCW_Cap40,BNB,0.10747598570163894,,87222072405.87825,0.041243860583220805,mcw_cap_40
2025-04-06,MCW_Cap40,BTC,0.4,,1627859591958.2957,0.7697502731574843,mcw_cap_40
2025-04-06,MCW_Cap40,ETH,0.2668744320083656,,216581786898.246,0.10241294178529617,mcw_cap_40
2025-04-06,MCW_Cap40,SOL,0.08568570932709138,,69538186547.3101,0.03288185194478331,mcw_cap_40
2025-04-06,MCW_Cap40,XRP,0.13996387296290402,,113587598030.20256,0.053711072529215365,mcw_cap_40
2025-07-06,AXIS_IVW,BNB,0.27335240239675845,0.0626372382163647,96512825964.02496,,ivw_weights
2025-07-06,AXIS_IVW,BTC,0.2818596898363001,0.06074667702886342,2111330261870.0537,,ivw_weights
2025-07-06,AXIS_IVW,ETH,0.18926194137072894,0.09046742003138629,302160858185.92084,,ivw_weights
2025-07-06,AXIS_IVW,SOL,0.13311803064590694,0.12862299316525985,85659453650.40335,,ivw_weights
2025-07-06,AXIS_IVW,XRP,0.1224079357503056,0.13987687514694971,117526797515.42316,,ivw_weights
2025-07-06,MCW_Cap40,BNB,0.09621457116601903,,96512825964.02496,0.03557171408924076,mcw_cap_40
2025-07-06,MCW_Cap40,BTC,0.40000000000000013,,2111330261870.0537,0.7781725969893178,mcw_cap_40
2025-07-06,MCW_Cap40,ETH,0.3012270866915794,,302160858185.92084,0.11136737059544442,mcw_cap_40
2025-07-06,MCW_Cap40,SOL,0.08539473916514599,,85659453650.40335,0.03157148869963153,mcw_cap_40
2025-07-06,MCW_Cap40,XRP,0.11716360297725563,,117526797515.42316,0.04331682962636539,mcw_cap_40
2025-10-05,AXIS_IVW,BNB,0.2701239359402572,0.06243323348566932,169105010256.504,,ivw_weights
2025-10-05,AXIS_IVW,BTC,0.289027536080346,0.05834984095749923,2386452178500.0,,ivw_weights
2025-10-05,AXIS_IVW,ETH,0.17056715063225772,0.09887431841425509,538558800000.0,,ivw_weights
2025-10-05,AXIS_IVW,SOL,0.1537987711940175,0.10965439211052726,132232455728.88,,ivw_weights
2025-10-05,AXIS_IVW,XRP,0.11648260615312163,0.14478308238104357,157346400000.0,,ivw_weights
2025-10-05,MCW_Cap40,BNB,0.10174354709708086,,169105010256.504,0.04997643641893561,mcw_cap_40
2025-10-05,MCW_Cap40,BTC,0.4,,2386452178500.0,0.705279964116548,mcw_cap_40
2025-10-05,MCW_Cap40,ETH,0.32402873545398025,,538558800000.0,0.15916293423377775,mcw_cap_40
2025-10-05,MCW_Cap40,SOL,0.07955884374334506,,132232455728.88,0.03907930880480768,mcw_cap_40
2025-10-05,MCW_Cap40,XRP,0.09466887370559382,,157346400000.0,0.046501356425931,mcw_cap_40
